apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Renato Cajá,Meia,ponte preta,7,Provável,29.01,-1.42,1.10,9.01,5,34,2,2,8,9,4,2,0,10,9,0,2,0,0,0,0,0
Robinho,Atacante,santos,4,Nulo,28.72,0.00,0.00,6.10,4,24,1,0,4,4,2,3,0,4,3,0,1,0,0,0,0,0
Diego Souza,Meia,sport,7,Provável,28.52,-1.51,-1.90,3.91,12,18,0,0,3,4,3,3,0,5,8,0,2,0,0,0,0,1
Luan,Atacante,grêmio,7,Provável,28.44,0.49,4.20,5.42,28,27,2,1,5,3,1,2,0,7,11,0,1,0,0,0,0,0
Luan,Atacante,atlético-mg,5,Contundido,28.21,0.00,0.00,8.38,4,26,2,0,2,2,2,4,0,14,7,0,0,0,0,0,0,0
Rogério Ceni,Goleiro,são paulo,7,Provável,27.96,-0.95,5.00,8.32,0,6,0,0,0,0,2,0,0,0,0,0,1,0,4,9,1,4
Zé Roberto,Lateral,palmeiras,7,Provável,27.04,-0.68,0.20,7.00,11,13,2,0,4,3,1,0,0,9,4,0,0,0,2,0,0,0
D'Alessandro,Meia,internacional,0,Contundido,27.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred,Atacante,fluminense,6,Contundido,25.42,0.00,0.00,6.23,16,8,1,0,6,3,3,1,0,1,13,0,0,0,0,0,0,0
Leandro Damião,Atacante,cruzeiro,4,Provável,24.65,2.27,15.00,6.80,8,8,1,0,2,4,2,1,0,4,5,0,2,0,0,0,0,0
Weverton,Goleiro,atlético-pr,7,Provável,23.90,0.05,5.00,6.22,6,5,0,0,0,0,0,0,0,0,0,0,2,0,4,12,0,5
Rodinei,Lateral,ponte preta,7,Provável,23.67,0.68,6.80,7.81,8,12,4,0,1,2,0,2,0,12,5,0,0,0,3,0,0,0
Paolo Guerrero,Atacante,flamengo,2,Nulo,23.49,0.00,0.00,2.15,7,5,0,0,1,2,0,1,0,2,6,0,0,0,0,0,0,0
Edson,Meia,fluminense,7,Provável,22.69,0.23,3.50,5.02,14,21,0,1,1,5,0,1,0,22,13,0,2,0,0,0,0,0
Renan,Goleiro,goiás,7,Provável,22.65,2.00,8.00,7.16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,3
Everton,Meia,flamengo,6,Provável,22.11,-1.02,0.20,3.27,9,20,0,0,3,3,2,11,0,10,11,0,3,0,0,0,0,0
Lucas Pratto,Atacante,atlético-mg,5,Provável,21.94,0.00,0.00,5.46,4,12,1,2,6,5,1,1,0,2,7,0,0,0,0,0,0,0
Marcelo Lomba,Goleiro,ponte preta,7,Provável,21.17,2.68,14.00,8.41,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,7
Cássio,Goleiro,corinthians,7,Provável,20.78,-0.44,1.20,5.34,1,7,0,0,0,0,0,0,0,0,0,0,1,0,4,11,0,6
Rodrigo,Zagueiro,vasco,7,Provável,20.59,1.19,7.90,4.93,7,26,0,0,6,2,1,0,0,12,6,0,2,0,2,0,0,0
Marlon,Zagueiro,fluminense,1,Nulo,20.33,0.00,0.00,11.70,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Vitor Hugo,Zagueiro,palmeiras,7,Provável,19.36,1.33,6.30,7.00,5,13,0,1,2,4,2,0,0,13,12,0,0,0,2,0,0,0
Gil,Zagueiro,corinthians,6,Provável,19.26,-2.14,-0.90,3.40,2,6,0,1,1,1,0,1,0,5,6,0,2,0,3,0,0,0
Geuvânio,Atacante,santos,6,Provável,19.24,0.00,0.00,5.08,10,15,0,0,4,8,2,1,0,7,10,0,1,0,0,0,0,0
Élber,Meia,sport,4,Contundido,19.12,0.00,0.00,5.57,11,9,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0
Aránguiz,Meia,internacional,0,Nulo,19.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Marques,Atacante,palmeiras,6,Provável,18.78,2.01,10.30,5.17,9,23,0,0,5,5,3,1,0,2,4,0,0,0,0,0,0,0
Jadson,Meia,corinthians,6,Provável,18.73,0.46,8.60,5.05,5,34,1,0,6,3,2,1,0,7,1,0,1,0,0,0,0,0
Souza,Meia,são paulo,6,Provável,18.51,1.91,9.40,4.22,5,8,0,0,1,3,1,1,0,13,11,0,1,0,0,0,0,0
Martín Silva,Goleiro,vasco,4,Nulo,18.51,0.00,0.00,4.47,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,4
Rafhael Lucas,Atacante,coritiba,7,Provável,18.46,-0.63,-0.80,2.23,6,10,0,0,4,5,1,4,0,3,6,0,0,0,0,0,0,0
Marcelo Grohe,Goleiro,grêmio,4,Nulo,18.29,0.00,0.00,1.50,1,5,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,6
Dátolo,Meia,atlético-mg,4,Provável,18.11,0.00,0.00,5.43,2,11,0,1,2,3,2,0,0,2,6,0,0,0,0,0,0,0
Ricardo Oliveira,Atacante,santos,6,Provável,18.07,0.00,0.00,3.63,4,10,0,1,3,7,3,7,1,2,10,0,2,0,0,0,0,0
Nilmar,Atacante,internacional,4,Nulo,17.94,0.77,10.00,7.50,8,8,0,0,0,3,3,1,0,4,4,0,1,0,0,0,0,0
Arrascaeta,Meia,cruzeiro,2,Nulo,17.77,0.00,0.00,2.35,3,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
Walter,Atacante,atlético-pr,6,Provável,17.43,-0.97,-0.60,2.53,6,32,2,0,6,10,1,6,0,4,12,0,1,1,0,0,0,0
Willian,Atacante,cruzeiro,6,Provável,17.28,0.67,8.00,3.70,12,18,1,0,4,6,0,4,0,12,12,0,2,0,0,0,0,0
Rildo,Atacante,ponte preta,2,Nulo,17.24,0.00,0.00,4.95,7,5,0,0,2,1,1,1,0,1,4,0,1,0,0,0,0,0
Natanael,Lateral,atlético-pr,6,Nulo,16.92,0.00,0.00,5.17,4,22,0,0,0,2,0,0,0,11,5,0,1,0,4,0,0,0
Yuri Mamute,Atacante,grêmio,7,Dúvida,16.82,-0.67,-0.30,2.64,17,18,0,0,2,3,2,4,0,4,11,0,2,0,0,0,0,0
Jemerson,Zagueiro,atlético-mg,5,Provável,16.68,0.00,0.00,4.90,2,3,0,0,1,1,2,0,0,6,5,1,0,0,1,0,0,0
Luis Fabiano,Atacante,são paulo,7,Suspenso,16.63,-0.82,0.80,2.04,4,13,1,1,2,6,2,3,0,0,14,0,3,0,0,0,0,0
Guiñazu,Meia,vasco,6,Provável,16.34,-0.05,5.40,3.40,12,8,0,0,0,1,0,0,0,18,17,0,3,0,0,0,0,0
Fernando Bob,Meia,ponte preta,7,Provável,16.28,1.17,7.50,4.20,9,19,0,0,0,2,0,0,0,26,26,0,1,0,0,0,0,0
Tite,Técnico,corinthians,7,Provável,16.09,-0.21,3.08,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Rocha,Lateral,atlético-mg,0,Contundido,16.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira,Goleiro,joinville,6,Nulo,15.92,0.00,0.00,3.55,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,9
Fábio Santos,Lateral,corinthians,6,Provável,15.85,-2.28,-1.70,4.92,11,26,1,0,0,0,1,1,0,4,5,0,0,0,3,0,0,0
Giuliano,Meia,grêmio,7,Dúvida,15.80,1.10,6.00,6.06,5,18,2,0,2,2,3,1,0,7,7,0,0,0,0,0,0,0
Ganso,Meia,são paulo,5,Contundido,15.32,0.00,0.00,2.58,8,16,1,0,1,3,0,0,0,8,8,0,2,0,0,0,0,0
Luan,Zagueiro,vasco,7,Provável,15.25,-0.60,-1.20,2.51,10,26,0,0,1,2,0,0,0,10,10,0,2,0,2,0,0,0
Marquinhos,Meia,avaí,5,Provável,15.23,-1.60,-0.90,2.24,11,40,1,1,1,3,1,0,0,3,6,0,2,0,0,0,0,0
Wallace,Zagueiro,flamengo,7,Provável,15.14,2.19,10.90,3.79,8,20,0,0,3,3,0,0,0,12,10,0,1,0,2,0,0,0
Dória,Zagueiro,são paulo,7,Provável,15.02,0.18,4.20,4.40,3,14,0,0,1,2,1,0,0,3,4,0,0,0,4,0,0,0
Eduardo Sasha,Atacante,internacional,0,Contundido,15.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rithely,Meia,sport,7,Provável,14.96,0.76,6.30,4.63,4,24,2,0,1,3,0,1,0,20,14,0,1,0,0,0,0,0
Marcos Guilherme ,Meia,atlético-pr,1,Nulo,14.95,0.00,0.00,5.90,3,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Jean,Meia,fluminense,7,Provável,14.82,0.66,3.80,1.57,2,26,0,0,4,2,1,0,0,7,11,0,1,0,0,0,0,0
Gilson,Lateral,ponte preta,6,Provável,14.77,1.99,7.70,4.63,10,17,0,0,1,1,0,2,0,11,9,0,1,0,3,0,0,0
Cleiton Xavier,Meia,palmeiras,3,Provável,14.68,0.54,3.30,1.17,2,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Vitinho,Atacante,internacional,7,Nulo,14.58,-1.57,-0.90,2.91,4,16,0,0,1,5,2,1,0,6,6,0,2,0,0,0,0,0
Giovanni,Lateral,fluminense,6,Provável,14.52,-1.18,1.80,3.80,3,18,0,0,2,2,0,0,0,9,4,0,0,1,3,0,0,0
Levir Culpi,Técnico,atlético-mg,6,Provável,14.50,0.00,0.00,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Bastos,Meia,são paulo,5,Provável,14.42,-0.72,-0.30,3.72,1,22,0,0,0,5,2,2,0,6,4,0,1,0,0,0,0,0
Diego Cavalieri,Goleiro,fluminense,7,Provável,14.41,0.91,8.70,4.59,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,11,0,8
Wellington Silva,Lateral,fluminense,5,Contundido,14.30,0.00,0.00,3.76,4,12,0,0,0,2,0,0,0,5,5,0,1,0,3,0,0,0
Edílson,Lateral,corinthians,4,Nulo,14.28,0.00,0.00,4.67,5,8,1,0,0,0,0,0,0,3,5,0,2,0,3,0,0,0
Valdivia,Meia,palmeiras,4,Nulo,14.07,0.00,0.00,2.05,14,23,0,0,3,3,0,2,0,5,1,0,2,0,0,0,0,0
Guilherme,Meia,atlético-mg,1,Nulo,13.97,0.00,0.00,0.40,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
